Metric,3 Mos Sep 30 25 (Total),3 Mos Sep 30 25 (NY),3 Mos Sep 30 25 (SF),9 Mos Sep 30 25 (Total),9 Mos Sep 30 25 (NY),9 Mos Sep 30 25 (SF)
PGRE's share of Cash NOI,73504,56310,18520,239857,166784,77778
Non-same store adjustments - Other net,1387,29,32,5443,706,32
PGRE's share of Same Store Cash NOI,74891,56339,18552,243628,165863,77765
,,,,,
PGRE's share of NOI,75500,57609,19181,244649,174285,75105
Non-same store adjustments - Other net,1351,29,32,5479,706,32
PGRE's share of Same Store NOI,76851,57638,19213,248456,173364,75092
